#n,fm,afm,uuuddd,face,tri,twin,one
0.600,0.0000000000,0.0348794625,0.0086419742,0.0057327415,0.0183682052,0.0057327415,0.0082620307
0.610,0.0000000000,0.0357402992,0.0110729933,0.0081325919,0.0200438601,0.0081325919,0.0097877985
0.620,0.0000000000,0.0369480515,0.0138958263,0.0109099845,0.0220783669,0.0109099845,0.0116164481
0.630,0.0000000000,0.0383207387,0.0169345339,0.0138830766,0.0242911889,0.0138830766,0.0135530303
0.640,0.0000000000,0.0397342675,0.0200612882,0.0169210822,0.0265521176,0.0169210822,0.0154375632
0.650,0.0000000000,0.0410869910,0.0231825748,0.0199237096,0.0287605363,0.0199237096,0.0171290825
0.660,0.0000000000,0.0422918380,0.0262148188,0.0227915233,0.0308255489,0.0227915233,0.0184325547
0.670,0.0000000000,0.0432673138,0.0290775343,0.0254138573,0.0326594776,0.0254138573,0.0193885556
0.680,0.0000000000,0.0439332238,0.0317001849,0.0276936534,0.0341672265,0.0276936534,0.0200637418
0.690,0.0000000000,0.0442187117,0.0340123816,0.0296315811,0.0352554211,0.0296315811,0.0204918220
0.700,0.0000000000,0.0440381004,0.0359457621,0.0311912927,0.0357740306,0.0311912927,0.0206871710
0.710,0.0000000000,0.0433083353,0.0374274052,0.0323069239,0.0357011578,0.0323069239,0.0206577832
0.720,0.0000000000,0.0419292760,0.0383855673,0.0328748062,0.0351182067,0.0328748062,0.0204125836
0.730,0.0000000000,0.0397840308,0.0387303663,0.0329459754,0.0340594182,0.0329459754,0.0199559003
0.740,0.0000000000,0.0369093565,0.0383456738,0.0325630787,0.0325340829,0.0325630787,0.0192849116
0.750,0.0000000000,0.0333282822,0.0372042860,0.0317402333,0.0305510247,0.0317402333,0.0184046633
0.760,0.0000000000,0.0289997996,0.0353865741,0.0304814214,0.0281094467,0.0304814214,0.0173117991
0.770,0.0000000000,0.0238880439,0.0329478253,0.0287735617,0.0252063974,0.0287735617,0.0160065563
0.780,0.0000000000,0.0181224999,0.0299074569,0.0265712429,0.0218317308,0.0265712429,0.0144880464
0.790,0.0000000000,0.0118072739,0.0262530359,0.0239159854,0.0179626287,0.0239159854,0.0127496342
0.800,0.0000000000,0.0050186340,0.0220679560,0.0208673420,0.0135187746,0.0208673420,0.0107892587
0.810,0.0000000000,-0.0021332422,0.0174924359,0.0174494677,0.0085341850,0.0174494677,0.0085972920
0.820,0.0000000000,-0.0095449709,0.0126498596,0.0136352910,0.0032046690,0.0136352910,0.0061588524
0.830,0.0000000000,-0.0170809399,0.0076837622,0.0095756785,-0.0023019366,0.0095756785,0.0033991238
0.840,0.0000000000,-0.0245609817,0.0027849993,0.0055202328,-0.0077832981,0.0055202328,0.0004218346
0.850,0.0000000000,-0.0317211398,-0.0017747734,0.0017634086,-0.0129605265,0.0017634086,-0.0023778828
0.860,0.0000000000,-0.0385945873,-0.0060207722,-0.0017048131,-0.0178557983,-0.0017048131,-0.0049727937
0.870,0.0000000000,-0.0453852282,-0.0101505287,-0.0050734715,-0.0226653247,-0.0050734715,-0.0075280060
0.880,0.0000000000,-0.0522039476,-0.0142630376,-0.0084346064,-0.0274864990,-0.0084346064,-0.0101198197
0.890,0.0000000000,-0.0591223874,-0.0184215803,-0.0118448883,-0.0323843900,-0.0118448883,-0.0127947211
0.900,0.0000000000,-0.0661994921,-0.0226749315,-0.0153458717,-0.0374088077,-0.0153458717,-0.0155826315
0.910,0.0000000000,-0.0732603765,-0.0270689105,-0.0189777780,-0.0426101080,-0.0189777780,-0.0185179284
0.920,0.0000000000,-0.0801838766,-0.0316473004,-0.0227794234,-0.0480362065,-0.0227794234,-0.0216279995
0.930,0.0000000000,-0.0869856698,-0.0364206364,-0.0267104533,-0.0537318167,-0.0267104533,-0.0248408772
0.940,0.0000000000,-0.0936792835,-0.0411455927,-0.0306334754,-0.0594745988,-0.0306334754,-0.0281114191
0.950,0.0000000000,-0.1002820393,-0.0457616846,-0.0345678886,-0.0649855869,-0.0345678886,-0.0314637153
0.960,0.0000000000,-0.1068151420,-0.0502621336,-0.0385170827,-0.0702263317,-0.0385170827,-0.0348394833
0.970,0.0000000000,-0.1133049898,-0.0544193494,-0.0421209705,-0.0749867458,-0.0421209705,-0.0375728227
0.980,0.0000000000,-0.1199762359,-0.0584786591,-0.0456510379,-0.0793356567,-0.0456510379,-0.0396682414
0.990,0.0000000000,-0.1274050415,-0.0639058401,-0.0507645904,-0.0834706483,-0.0507645904,-0.0412821380
1.000,0.0000000000,-0.1307294524,-0.0696340858,-0.0546954876,-0.0849391837,-0.0546954876,-0.0418236663
